category,university
私立,長崎総合科学大学
私立,九州看護福祉大学
私立,九州ルーテル学院大学
私立,熊本学園大学
私立,熊本保健科学大学
私立,尚絅大学
私立,崇城大学
私立,平成音楽大学
私立,日本文理大学
私立,別府大学
私立,立命館アジア太平洋大学
私立,九州保健福祉大学
私立,南九州大学
私立,宮崎国際大学
私立,宮崎産業経営大学
私立,鹿児島国際大学
私立,鹿児島純心女子大学
私立,志學館大学
私立,第一工業大学
私立,沖縄大学
私立,沖縄科学技術大学院大学
私立,沖縄キリスト教学院大学
私立,沖縄国際大学
公立,釧路公立大学
公立,公立はこだて未来大学
公立,札幌市立大学
公立,名寄市立大学 
公立,札幌医科大学
公立,青森県立保健大学
公立,青森公立大学
公立,岩手県立大学 
公立,宮城大学
公立,秋田県立大学
公立,国際教養大学
公立,秋田公立美術大学
公立,山形県立保健医療大学
公立,山形県立米沢栄養大学
公立,会津大学
公立,福島県立医科大学
公立,茨城県立医療大学
公立,群馬県立県民健康科学大学
公立,群馬県立女子大学
公立,高崎経済大学 
公立,前橋工科大学
公立,千葉県立保健医療大学
公立,埼玉県立大学
公立,首都大学東京 
公立,産業技術大学院大学
公立,神奈川県立保健福祉大学
公立,横浜市立大学
公立,新潟県立看護大学
公立,新潟県立大学
公立,長岡造形大学
公立,都留文科大学
公立,山梨県立大学
公立,長野県看護大学
公立,長野大学
公立,富山県立大学
公立,石川県立大学
公立,石川県立看護大学
公立,金沢美術工芸大学
公立,福井県立大学
公立,敦賀市立看護大学
公立,岐阜県立看護大学
公立,岐阜薬科大学
公立,情報科学芸術大学院大学
公立,静岡県立大学
公立,静岡文化芸術大学
公立,愛知県立大学
公立,愛知県立芸術大学
公立,名古屋市立大学
公立,三重県立看護大学
公立,滋賀県立大学
公立,京都市立芸術大学
公立,京都府立大学
公立,京都府立医科大学
公立,福知山公立大学
公立,大阪府立大学
公立,大阪市立大学
公立,神戸市看護大学
公立,神戸市外国語大学
公立,兵庫県立大学
公立,奈良県立医科大学
公立,奈良県立大学
公立,和歌山県立医科大学
公立,公立鳥取環境大学
公立,島根県立大学
公立,岡山県立大学
公立,新見公立大学
公立,尾道市立大学
公立,県立広島大学
公立,広島市立大学
公立,福山市立大学
公立,下関市立大学
公立,山口県立大学
公立,山陽小野田市立山口東京理科大学
公立,香川県立保健医療大学
公立,愛媛県立医療技術大学
公立,高知県立大学
公立,高知工科大学
公立,北九州市立大学
公立,九州歯科大学
公立,福岡県立大学
公立,福岡女子大学
公立,長崎県立大学
公立,熊本県立大学
公立,大分県立看護科学大学
公立,宮崎公立大学
公立,宮崎県立看護大学
公立,沖縄県立芸術大学
公立,沖縄県立看護大学
公立,名桜大学
